Date;EUPG15;EUPG110;EUPG120;EUPG55;EUPG510;EUPG520;EUPG105;EUPG1010;EUPG1020
04/10/12;36.91660291;17.88856305;13.14390842;11.23174841;9.487179487;9.520426288;7.085146053;7.953042328;8.330353951
11/10/12;34.99203822;17.04035874;12.51035626;10.81593928;8.992060753;8.981713876;6.725054739;7.6;7.825459791
18/10/12;33.45272206;16.5810369;12.22047862;10.49115204;8.877887789;8.857729138;6.602641056;7.484076433;7.737276479
25/10/12;34.77321814;17.23573433;12.70216963;10.67821068;9.012875536;9.125344353;6.764882742;7.72070626;8.156151969
01/11/12;40.28941356;18.94455253;13.67731368;11.63873371;9.80861244;9.844420601;7.31897628;8.394403731;8.867443554
08/11/12;43.25040783;19.32391524;13.52941176;11.77314461;9.770114943;9.834123223;7.235387046;8.251606358;8.752775722
15/11/12;41.92111959;18.93153527;13.13938619;11.64504717;9.643364088;9.544448543;7.130309805;8.100748809;8.497582745
22/11/12;40.40743671;18.39294585;12.75677896;11.43697798;9.339525284;9.232549858;6.962123564;7.871744148;8.240773916
29/11/12;44.60825611;18.72087002;12.44190959;11.61347518;9.409267775;9.093396571;6.792273591;7.625125966;7.895217233
06/12/12;48.39366516;19.41747573;12.6886589;12.04156479;9.661966739;9.287296898;7.036503362;7.888513514;8.144216691
13/12/12;46.19516562;18.83634431;12.10368466;11.55075939;9.360444285;8.990102639;7.062780269;7.85472973;8.068638189
20/12/12;45.88772846;18.86792453;12.42044972;11.91468254;9.597578348;9.153650563;7.220274147;8.011744966;8.206933911
27/12/12;45.49675023;18.56908793;7.029059393;11.54952733;9.34981685;8.863467262;6.970290565;7.709555019;7.846580407
03/01/13;37.68145161;16.45916335;10.87793998;10.28294721;8.359027064;7.932776036;6.330769231;6.884057971;6.965088144
10/01/13;35.63664596;16.2414966;10.98650258;10.4640328;8.523681559;8.082963469;6.4460193;7.000632111;7.101694915
17/01/13;34.48773449;16.08095007;10.93247588;11.11966141;8.979909941;8.538083538;6.823127137;7.421240663;7.641311933
24/01/13;33.33962264;15.80059672;11.13153595;10.96131301;9.00140647;8.696808511;6.955835962;7.561576355;7.793807178
31/01/13;31.31510417;15.25540727;11.07594937;10.50778354;8.761122519;8.628551385;6.888958792;7.547791694;7.790368272
07/02/13;33.33914864;15.6;11.01154918;10.42052612;8.56292517;8.371198882;6.642324425;7.222222222;7.48502994
14/02/13;34.97239476;16.01706642;10.78998073;10.43706928;8.511689167;8.2996633;6.354166667;7.02247191;7.351451722
21/02/13;37.39361702;16.86972821;11.5003882;10.65393093;8.686651209;8.446060196;6.437704431;7.100499376;7.418046637
28/02/13;37.3427673;16.64204825;11.31961259;10.65635609;8.679373724;8.466898955;6.500458856;7.100353812;7.421602787
07/03/13;36.95318496;16.33300781;10.97122302;10.78449905;8.675373134;8.336209872;6.450879321;7.043935053;7.233459033
14/03/13;40.765588;17.91893228;12.02886929;11.65906499;9.405856316;8.996897622;6.912792464;7.476190476;7.660190866
21/03/13;40.55197421;18.48717949;12.32833958;12.36548426;9.820156695;9.394102841;7.23015873;7.790274562;8.016690341
28/03/13;44.06224406;18.4906639;12.08490963;12.6056338;9.867002157;9.340958606;7.270980141;7.791124458;7.99856528
04/04/13;43.97616946;19.07077256;12.25910064;12.8479435;9.996345029;9.448313783;7.222043702;7.834448161;8.045977011
